"","x"
"1",172.287194644877
"2",242.738570207839
"3",445.9437702585
"4",815.13975374248
"5",1302.07867884306
"6",90.0082311080831
"7",792.160881884167
"8",181.465345785008
"9",123.252698331635
"10",492.004749183925
"11",176.655250787072
"12",796.444979285898
"13",192.996393306917
"14",556.88204835742
"15",362.131508309954
"16",232.701976814239
"17",396.262365128594
"18",78.4260486774386
"19",893.223854792153
"20",62.7828535060734
"21",107.727840481481
"22",215.680543105718
"23",895.476617754317
"24",297.843976252442
"25",563.239367003882
"26",789.799387053319
"27",1818.76557724963
"28",391.48212713734
"29",514.179499997687
"30",86.3614113321765
"31",1116.6110973244
"32",253.821668395196
"33",793.697973639927
"34",87.8832896040372
"35",803.7334073278
"36",250.282628513276
"37",945.844580862842
"38",825.322548057726
"39",1396.98289265703
"40",509.138638230738
"41",810.349944063817
"42",82.0656676916893
"43",1673.01942832566
"44",1751.42882275758
"45",17.5619209385992
"46",285.02511388139
"47",532.843163581504
"48",748.801336416131
"49",436.577654376642
"50",87.2631362148569
"51",611.908212095091
"52",12.1100147088896
"53",264.410337326516
"54",915.308571616201
"55",416.9050873582
"56",181.850611899008
"57",91.6770124677516
"58",451.971711507447
"59",534.006624637072
"60",105.596995993275
"61",627.942790004329
"62",354.028545650595
"63",500.788610631183
"64",88.8591093725121
"65",54.6778159668295
"66",1163.41265173214
"67",1461.61000839211
"68",530.134066591397
"69",406.175562932011
"70",811.172291800324
"71",258.061860493054
"72",1126.2702371434
"73",372.432657704608
"74",866.508721267859
"75",25.0561908772336
"76",714.107211623091
"77",419.328368626883
"78",954.147556063472
"79",89.8438074819652
"80",1021.18507161678
"81",547.880941367553
"82",154.858339018974
"83",345.741921403165
"84",40.559422347869
"85",797.299411467856
"86",403.421443494308
"87",1079.27149803091
"88",391.309340995012
"89",255.23750617709
"90",1049.09895099552
"91",520.461655116091
"92",382.939439761986
"93",554.609765936909
"94",634.474885282115
"95",1318.81943593269
"96",582.301200594084
"97",634.090792256208
"98",314.501808412934
"99",380.167653811761
"100",216.97788166894
