"id","Valor"
1,20626.9464681358
2,23333.3283208907
3,14310.612773613
4,17349.4193342328
5,17704.7942394268
6,18691.1036108899
7,18143.6081833139
8,17880.2654422447
9,11599.0426304606
10,12408.62834106
11,6330.1795857235
12,18943.0910442134
13,21896.032386012
14,22782.3050593418
15,10360.1972787734
16,25327.4329581421
17,14183.5166704002
18,23664.6533752293
19,31058.0173714125
20,39319.7631394158
21,30453.3414883904
22,21635.5743217875
23,24377.9529175037
24,16687.4003449752
25,37066.3815900044
26,21334.3197786161
27,41133.3156717312
28,22492.9700994303
29,18933.6524294325
30,26508.6479845603
31,25302.0591756514
32,34198.1452375006
33,29926.159815021
34,16931.3993295435
35,17486.4042258461
36,48467.9017618636
37,21626.3747404707
38,31210.2281176096
39,13409.9837374113
40,21576.4184568247
41,17135.0920966066
42,19620.1980975062
43,15481.4289862591
44,17882.896895907
45,27899.1280438988
46,12925.9253556983
47,16662.5692376504
48,17690.1841960357
49,23056.6511133661
50,30449.1452583433
51,32758.8857359953
52,23551.2122281991
53,9629.76043553032
54,14554.8617976526
55,43659.5799507508
56,16146.9777186228
57,42269.5618052316
58,31098.0846776226
59,24362.400071623
60,39010.2616433263
61,28705.0111603837
62,16513.5056894146
63,35421.2957747058
64,21150.6870994197
65,40345.5121865537
66,13795.5882360973
67,7693.81830040135
68,16384.0556835426
69,26506.4361620077
70,14918.4287326029
71,48892.6263811744
72,27942.9939433956
73,53077.4234653943
74,17920.1339648797
75,21905.342518314
76,19460.9599972305
77,15063.3198746553
78,14999.2049800191
79,10932.9857373971
80,40685.6147025328
81,15021.8721550058
82,20935.8068185142
83,21607.7325322968
84,31507.4563059037
85,17825.7842690324
86,29907.7731791265
87,17592.7003655999
88,23068.3667921146
89,16364.2933276973
90,17356.9990945685
91,26629.3908820736
92,30990.8274123869
93,36129.6288899439
94,41401.8677052046
95,16719.5274951355
96,16764.5790259724
97,17174.559399514
98,26439.6815880342
99,25612.2051908387
100,20000.1016144857
101,27064.6569015964
102,30674.5696812902
103,21318.3293286588
104,14244.5685441352
105,15813.2792132769
106,20767.1938178788
107,25654.8673292223
108,10272.5317347008
109,13152.2650140833
110,12020.5369836437
111,19794.8857907796
112,12297.2059012665
113,21221.4153068271
114,11219.5171828468
