"id","Valor"
1,26700.830863802
2,13851.6583513565
3,13549.0005560404
4,11954.9218026502
5,24110.171769657
6,11401.6993632767
7,19128.541972864
8,22394.1243138066
9,15672.5873267209
10,19302.7660658724
11,22872.2481967193
12,37954.1650423238
13,32708.4908354554
14,37274.2577931482
15,28164.4513047432
16,34440.3161032074
17,32582.1148262699
18,20124.0931284388
19,24822.0451527156
20,23295.6425489493
21,19284.7850551074
22,20372.5699330035
23,24221.0315913525
24,27228.8115187085
25,19571.8822508189
26,23746.6026500735
27,8052.8282088206
28,22232.9027844398
29,44897.6666126776
30,20274.802067467
31,15296.6245611546
32,35289.8975989722
33,41305.9531884693
34,10438.057041846
35,20773.2461431572
36,21179.2985585578
37,32160.382366811
38,29725.7097404558
39,9025.82518852116
40,19573.4307043528
41,27011.592571281
42,28341.0609582711
43,27936.7159641842
44,28203.4498844751
45,16712.1929248206
46,13173.947280454
47,28872.6622565112
48,33584.2168201154
49,28493.7559032864
50,22814.34341134
51,25087.4168167763
52,30704.1320251528
53,18246.5509102198
54,34202.9181861619
55,27195.5420855666
56,24834.0898752952
57,27292.9168830838
58,18766.3354415025
59,26462.4431223242
60,16510.9190103283
61,31862.3617514642
62,20704.1972542998
63,22290.7059993677
64,27684.0004962248
65,13397.1826957772
66,14695.8121301588
67,13374.4004386271
68,14936.3054499265
69,15277.6666317075
70,30660.1411619427
71,9491.66767359572
72,24929.8468202876
73,15666.3777999941
74,31176.2771240156
75,28472.2909997211
76,20568.1727281249
77,28306.6503673146
78,27066.5352737981
79,22850.3355565352
80,24690.8652888342
81,19456.2460072868
82,26705.5709213896
83,11093.1518352522
84,14850.2641260079
85,15917.3144491897
86,20141.0384504926
87,27788.2248581272
88,12700.5917859683
89,18060.9192810641
90,27667.475243354
91,41646.7868720648
92,27156.5335549919
93,20883.4767955485
94,27267.2933900944
95,13294.247930789
96,16038.8728561358
97,38761.6875340624
98,14256.3226328841
99,21838.4298456751
100,17017.4902837455
101,25537.7276594089
102,18050.4458231972
103,18411.3758856718
104,25856.6069125083
105,40998.667951142
106,24693.5670718606
107,46868.795394808
108,22681.8842237344
109,32437.3940343094
110,47903.2435442728
111,21059.965358655
112,30375.4862501127
113,37245.4295412982
114,18407.2914785169
115,6992.95799660183
116,35119.3372119014
117,31342.7037001131
118,13622.5546787794
119,22248.2572737716
120,24687.6226069434
121,18132.1108473584
122,41681.2426871655
123,28135.7982488009
124,20628.1062538163
125,45444.3709781786
126,9138.31973911681
127,17716.9194749509
128,29551.2855138705
129,7786.41994284179
130,11166.1755918268
131,34686.2826924325
132,18537.1985322985
133,14855.4232238649
134,18702.7938453164
135,33249.8608762904
136,29029.3959162415
137,11375.6185464905
138,26559.3929076105
139,19859.228536126
140,26830.6741474175
141,27313.1148954022
142,25273.6512373188
143,23652.0327587788
144,39040.2012639549
145,22831.6243818324
146,11258.1937786401
147,26159.2975447519
148,21027.6912952777
149,24469.2880771823
150,19256.3384759181
151,30458.6135548217
152,14168.6874252995
153,40916.5250274991
154,8547.28596093591
155,26607.2234809172
156,16291.6558246986
157,22228.2506459041
158,20759.8565046463
159,20677.5355797499
160,8511.09149874818
161,31723.2623773966
162,22780.4835565772
163,14466.2920156501
164,19668.1482092016
165,20503.1225754727
166,39161.8743139392
167,32265.70126489
168,21510.3969150627
169,16660.7879801086
170,20068.0068106101
171,14404.3545882209
172,22431.3233506854
173,14720.1885221905
174,44360.5596174334
175,26972.0886310717
176,24022.2479213257
177,37411.9170075598
178,27508.0480820815
179,37239.8801229905
180,35606.8295886081
181,27166.5264902529
182,18163.6977619172
183,16642.9030293849
184,14767.3860595156
185,10726.0298182453
186,15165.1731917684
187,17125.1773923861
188,22467.3459315742
189,23533.6682478846
190,15539.9326411094
191,31027.1682287247
192,31706.2540376782
193,20294.7154938549
194,9509.80051867944
195,11234.1371140338
196,10579.194541748
197,19591.5792279085
198,25548.813935278
199,19224.7091648071
200,18621.3244527091
201,10370.0621799759
202,21417.6730553034
203,28170.9275787898
204,33130.2225066063
205,24998.8846883944
206,12446.3377449979
207,31342.9050762716
208,10399.0398837432
209,26355.1491205634
210,21539.2899744818
211,11500.6794021463
212,32084.4092037564
213,38971.4990075104
214,20833.7946921401
215,14738.7389650985
216,36955.8140269484
217,17437.8750104884
218,22025.2541505656
219,15130.83714959
220,20587.6970717299
221,37466.5185137414
222,35396.9041304532
223,17714.4489250157
224,12225.5674363956
225,31100.79620124
226,30662.7121416039
227,37934.7805845564
228,15076.8861472269
229,12047.3456275136
230,11041.488912518
231,25635.2898351607
232,24217.7118899726
233,18983.6794171655
234,29914.2063408154
235,13886.3968439582
236,11576.0883958963
237,17703.3436476754
238,29582.7342490107
239,25151.8172207025
240,21742.2445904451
241,13933.0734561857
242,30614.7853166792
243,21397.4878598101
244,33554.5303309358
245,27463.6546995321
246,34969.1877484375
247,32511.3110808742
248,39142.0541127825
249,28083.6325967465
250,25280.193842538
